date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
10/29/2013,2014,0,,LAL,LAC,1511.02,1586.5884,0.535102059,0.464897941,1522.1942,1575.4142,,,,,,,,,,,116,103,68,,
10/29/2013,2014,0,,MIA,CHI,1691.8896,1519.9124,0.827159254,0.172840746,1695.1932,1516.6088,,,,,,,,,,,107,95,87,,
10/29/2013,2014,0,,IND,ORL,1583.5721,1313.2317,0.893960575,0.106039425,1585.27,1311.5338,,,,,,,,,,,97,87,19,,
10/30/2013,2014,0,,GSW,LAL,1562.4785,1522.1942,0.691585332,0.308414668,1574.8977,1509.775,,,,,,,,,,,125,94,65,,
10/30/2013,2014,0,,HOU,CHO,1556.411,1352.4205,0.851941448,0.148058552,1559.3295,1349.5021,,,,,,,,,,,96,83,23,,
10/30/2013,2014,0,,NYK,MIL,1579.2007,1445.7207,0.793150074,0.206849926,1582.1333,1442.7881,,,,,,,,,,,90,83,50,,
10/30/2013,2014,0,,MIN,ORL,1471.4886,1311.5338,0.817039942,0.182960058,1473.6205,1309.402,,,,,,,,,,,120,115,7,,
10/30/2013,2014,0,,CLE,BRK,1369.2823,1548.4365,0.388018698,0.611981302,1377.5465,1540.1724,,,,,,,,,,,98,94,26,,
10/30/2013,2014,0,,TOR,BOS,1483.9835,1484.9615,0.638766972,0.361233028,1489.16,1479.785,,,,,,,,,,,93,87,39,,
10/30/2013,2014,0,,DET,WAS,1405.6205,1462.0291,0.562405951,0.437594049,1414.9327,1452.7168,,,,,,,,,,,113,102,18,,
10/30/2013,2014,0,,PHO,POR,1390.5642,1429.8431,0.586505722,0.413494278,1400.2277,1420.1797,,,,,,,,,,,104,91,11,,
